Supporter,Skarner,47.66,0.01
Supporter,Rumble,45.44,0.19
Supporter,Singed,43.62,0.06
Supporter,Ivern,43.72,0.04
Supporter,Anivia,47.04,0.23
Supporter,Veigar,48.46,0.78
Supporter,Cho'Gath,45.47,0.1
Supporter,Amumu,47.68,0.08
Supporter,Malzahar,46.31,0.07
Supporter,Malphite,47.72,2.01
Supporter,Ashe,46.53,0.52
Supporter,Ornn,44.55,0.21
Supporter,Sion,46.11,0.12
Supporter,Trundle,46.16,0.21
Supporter,Nunu,38.25,0.39
Supporter,Teemo,42.81,0.4
Supporter,Rammus,38.12,0.08
Supporter,Volibear,36.4,0.63
